api_number,depth_top,depth_bot,thickness,porosity
42-123-34318,207.8736,435.2544,227.3808,0.15
42-123-34319,310.2864,482.8032,172.5168,0.15
42-123-34320,310.2864,483.4128,173.1264,0.15
42-123-34321,310.2864,483.4128,173.1264,0.15
42-123-34322,310.2864,483.108,172.8216,0.15
42-123-34323,310.2864,482.8032,172.5168,0.15
42-123-34324,310.2864,482.8032,172.5168,0.15
42-123-34325,177.3936,409.6512,232.2576,0.15
42-123-34326,177.3936,409.6512,232.2576,0.15
42-123-34327,175.8696,409.3464,233.4768,0.15
42-123-34328,176.1744,409.6512,233.4768,0.15
42-123-34329,177.0888,410.8704,233.7816,0.15
42-123-34330,177.3936,411.1752,233.7816,0.15
42-123-34354,57.3024,276.4536,219.1512,0.15
42-123-34355,67.6656,289.2552,221.5896,0.15
42-123-34356,75.5904,297.18,221.5896,0.15
42-123-34357,88.392,309.9816,221.5896,0.15
42-123-34359,58.8264,280.416,221.5896,0.15
42-123-34362,278.5872,308.4576,29.8704,0.15
42-123-34363,281.3304,308.4576,27.1272,0.15
42-123-34364,278.5872,308.4576,29.8704,0.15
42-123-34365,278.5872,308.4576,29.8704,0.15
42-123-34366,278.5872,305.7144,27.1272,0.15
42-123-34367,275.844,308.4576,32.6136,0.15
42-123-34368,278.5872,305.7144,27.1272,0.15
42-123-34369,362.4072,764.7432,402.336,0.15
42-123-34374,380.6952,746.4552,365.76,0.15
42-123-34418,183.1848,432.2064,249.0216,0.15
42-123-34431,89.6112,311.2008,221.5896,0.15
42-123-34440,377.0376,660.1968,283.1592,0.15
42-123-34441,376.428,660.1968,283.7688,0.15
42-123-34442,376.7328,660.8064,284.0736,0.15
42-123-34443,376.7328,660.8064,284.0736,0.15
42-123-34444,376.428,661.1112,284.6832,0.15
42-123-34445,377.0376,662.3304,285.2928,0.15
42-123-34446,121.3104,547.7256,426.4152,0.15
42-123-34447,121.3104,547.7256,426.4152,0.15
42-123-34448,121.3104,547.7256,426.4152,0.15
42-123-34449,309.372,531.876,222.504,0.15
42-123-34450,144.4752,579.12,434.6448,0.15
42-123-34451,309.6768,531.876,222.1992,0.15
42-123-34452,308.7624,529.4376,220.6752,0.15
42-123-34453,300.8376,520.9032,220.0656,0.15
42-123-34454,300.8376,520.9032,220.0656,0.15
42-123-34455,300.8376,520.9032,220.0656,0.15
42-123-34456,300.8376,520.9032,220.0656,0.15
42-123-34457,249.936,322.7832,72.8472,0.15
42-123-34458,249.936,322.7832,72.8472,0.15
42-123-34459,249.936,322.7832,72.8472,0.15
42-123-34460,249.936,322.7832,72.8472,0.15
42-123-34461,300.8376,520.9032,220.0656,0.15
42-123-34462,300.8376,520.9032,220.0656,0.15
42-123-34463,249.936,322.7832,72.8472,0.15
42-123-34464,300.8376,520.9032,220.0656,0.15
42-123-34466,144.4752,578.8152,434.34,0.15
42-123-34467,144.4752,578.8152,434.34,0.15
42-123-34468,144.4752,578.8152,434.34,0.15
42-123-34469,144.4752,589.4832,445.008,0.15
42-123-34470,144.4752,589.4832,445.008,0.15
42-123-34471,515.112,668.7312,153.6192,0.15
42-123-34472,513.2832,662.3304,149.0472,0.15
42-123-34485,394.716,814.7304,420.0144,0.15
42-123-34486,391.9728,808.3296,416.3568,0.15
42-123-34487,393.4968,818.388,424.8912,0.15
42-123-34488,393.4968,815.6448,422.148,0.15
42-123-34489,393.192,817.7784,424.5864,0.15
42-123-34499,2464.6128,416.052,-2048.5608,0.15
42-123-34500,246.2784,416.6616,170.3832,0.15
42-123-34501,2457.6024,416.6616,-2040.9408,0.15
42-123-34502,2455.4688,416.3568,-2039.112,0.15
42-123-34503,2455.4688,416.6616,-2038.8072,0.15
42-123-34504,2455.7736,416.6616,-2039.112,0.15
42-123-34506,749.808,1048.512,298.704,0.15
42-123-34507,749.808,1048.512,298.704,0.15
42-123-34508,749.808,1048.512,298.704,0.15
42-123-34509,749.808,1048.512,298.704,0.15
42-123-34510,749.808,1048.512,298.704,0.15
42-123-34511,749.808,1048.512,298.704,0.15
42-123-34512,185.928,356.3112,170.3832,0.15
42-123-34514,175.8696,348.996,173.1264,0.15
42-123-34515,182.2704,356.3112,174.0408,0.15
42-123-34516,182.2704,355.3968,173.1264,0.15
42-123-34517,182.2704,355.3968,173.1264,0.15
42-123-34518,175.8696,352.6536,176.784,0.15
42-123-34519,185.928,355.3968,169.4688,0.15
42-123-34520,185.928,366.6744,180.7464,0.15
42-123-34521,197.2056,359.0544,161.8488,0.15
42-123-34523,193.548,359.0544,165.5064,0.15
42-123-34524,182.88,352.3488,169.4688,0.15
42-123-34531,365.76,640.08,274.32,0.15
42-123-34532,365.76,731.52,365.76,0.15
42-123-34533,365.76,640.08,274.32,0.15
42-123-34563,249.936,322.7832,72.8472,0.15
42-123-34564,249.936,322.7832,72.8472,0.15
42-123-34565,249.936,322.7832,72.8472,0.15
42-123-34566,249.936,322.7832,72.8472,0.15
42-123-34567,249.936,322.7832,72.8472,0.15
42-123-34569,293.2176,473.964,180.7464,0.15
42-123-34570,292.3032,472.7448,180.4416,0.15
42-123-34571,294.132,473.6592,179.5272,0.15
42-123-34572,293.8272,473.3544,179.5272,0.15
42-123-34573,294.4368,473.3544,178.9176,0.15
42-123-34574,294.7416,473.3544,178.6128,0.15
42-123-34580,435.5592,651.0528,215.4936,0.15
42-123-34581,425.8056,650.748,224.9424,0.15
42-123-34586,245.9736,666.5976,420.624,0.15
42-123-34587,245.9736,665.988,420.0144,0.15
42-123-34588,245.9736,666.5976,420.624,0.15
42-123-34589,245.9736,666.5976,420.624,0.15
42-123-34590,433.7304,656.2344,222.504,0.15
42-123-34646,249.936,322.7832,72.8472,0.15
42-123-34647,249.936,322.7832,72.8472,0.15
42-123-34648,249.936,322.7832,72.8472,0.15
42-123-34655,249.936,322.7832,72.8472,0.15
42-123-34656,249.936,322.7832,72.8472,0.15
42-123-34657,249.936,322.7832,72.8472,0.15
42-123-34658,249.936,322.7832,72.8472,0.15
42-123-34659,249.936,322.7832,72.8472,0.15
42-123-34660,249.936,322.7832,72.8472,0.15
42-123-34661,365.76,417.576,51.816,0.15
42-123-34662,365.76,417.576,51.816,0.15
42-123-34663,365.76,417.576,51.816,0.15
42-123-34664,365.76,417.576,51.816,0.15
42-123-34665,365.76,417.576,51.816,0.15
42-123-34666,365.76,417.576,51.816,0.15
42-123-34674,365.76,640.08,274.32,0.15
42-123-34675,365.76,640.08,274.32,0.15
42-123-34685,129.54,373.38,243.84,0.15
42-123-34688,115.2144,419.1,303.8856,0.15
42-123-34689,114.3,434.34,320.04,0.15
42-123-34690,114.3,434.34,320.04,0.15
42-123-34691,114.3,434.34,320.04,0.15
42-123-34692,114.3,434.34,320.04,0.15
42-123-34693,114.3,449.58,335.28,0.15
42-123-34694,114.3,434.34,320.04,0.15
42-123-34695,114.3,441.96,327.66,0.15
42-123-34696,114.3,434.34,320.04,0.15
42-123-34697,121.3104,419.1,297.7896,0.15
42-123-34702,121.3104,419.1,297.7896,0.15
42-123-34704,121.3104,419.1,297.7896,0.15
42-123-34705,144.4752,579.12,434.6448,0.15
42-123-34706,144.4752,579.12,434.6448,0.15
42-123-34711,144.4752,594.36,449.8848,0.15
42-123-34712,144.4752,579.12,434.6448,0.15
42-123-34713,144.4752,579.12,434.6448,0.15
42-123-34714,144.4752,594.36,449.8848,0.15
42-123-34715,114.3,434.34,320.04,0.15
42-123-34716,114.3,434.34,320.04,0.15
42-123-34717,114.3,434.34,320.04,0.15
42-123-34718,144.4752,579.12,434.6448,0.15
42-123-34719,144.4752,579.12,434.6448,0.15
42-123-34720,670.56,729.3864,58.8264,0.15
42-123-34721,249.936,322.7832,72.8472,0.15
42-123-34732,749.808,1048.512,298.704,0.15
42-123-34736,749.808,1048.512,298.704,0.15
42-123-34737,749.808,1048.512,298.704,0.15
42-123-34738,749.808,1048.512,298.704,0.15
42-123-34739,749.808,1048.512,298.704,0.15
42-123-34740,144.4752,579.12,434.6448,0.15
42-123-34741,144.4752,579.12,434.6448,0.15
42-123-34742,144.4752,579.12,434.6448,0.15
42-123-34743,137.16,350.52,213.36,0.15
42-123-34756,573.9384,674.2176,100.2792,0.15
42-123-34757,575.4624,669.036,93.5736,0.15
42-123-34758,578.8152,676.0464,97.2312,0.15
42-123-34782,304.8,594.36,289.56,0.15
42-123-34784,304.8,594.36,289.56,0.15
42-123-34785,304.8,594.36,289.56,0.15
42-123-34786,304.8,594.36,289.56,0.15
42-123-34787,304.8,594.36,289.56,0.15
42-123-34788,183.1848,432.2064,249.0216,0.15
42-123-34789,183.1848,432.2064,249.0216,0.15
42-123-34790,183.1848,432.2064,249.0216,0.15
42-123-34791,274.32,594.36,320.04,0.15
42-123-34792,274.32,594.36,320.04,0.15
42-123-34793,274.32,594.36,320.04,0.15
42-123-34794,274.32,594.36,320.04,0.15
42-123-34795,304.8,609.6,304.8,0.15
42-123-34796,304.8,609.6,304.8,0.15
42-123-34797,304.8,609.6,304.8,0.15
42-123-34798,183.1848,432.2064,249.0216,0.15
42-123-34808,304.8,609.6,304.8,0.15
42-123-34818,457.2,609.6,152.4,0.15
42-123-34819,457.2,655.32,198.12,0.15
42-123-34820,457.2,655.32,198.12,0.15
42-123-34821,274.32,562.9656,288.6456,0.15
42-123-34822,457.2,655.32,198.12,0.15
42-123-34823,457.2,655.32,198.12,0.15
42-123-34824,274.32,562.9656,288.6456,0.15
42-123-34846,274.32,562.9656,288.6456,0.15
42-123-34863,274.32,563.88,289.56,0.15
42-123-34864,274.32,563.88,289.56,0.15
42-123-34865,274.32,563.88,289.56,0.15
42-123-34879,102.108,297.4848,195.3768,0.15
42-123-34880,110.0328,292.9128,182.88,0.15
42-123-34891,119.4816,420.624,301.1424,0.15
42-123-34892,132.8928,420.3192,287.4264,0.15
42-123-34906,135.0264,430.6824,295.656,0.15
42-123-34907,129.2352,419.7096,290.4744,0.15
42-123-34934,127.7112,434.0352,306.324,0.15
42-123-34935,141.1224,428.5488,287.4264,0.15
42-123-34949,106.68,434.9496,328.2696,0.15
42-123-34952,106.68,434.9496,328.2696,0.15
42-123-34960,106.68,434.9496,328.2696,0.15
42-123-34961,106.68,434.9496,328.2696,0.15
42-123-34962,124.6632,356.616,231.9528,0.15
42-123-34963,113.6904,381,267.3096,0.15
42-123-34974,129.2352,342.9,213.6648,0.15
42-123-34975,136.2456,326.136,189.8904,0.15
42-123-34995,274.32,608.076,333.756,0.15
42-123-34996,274.32,608.076,333.756,0.15
42-123-34997,274.32,608.076,333.756,0.15
42-123-34998,274.32,608.076,333.756,0.15
42-123-35010,274.32,608.076,333.756,0.15
42-123-35011,274.32,608.076,333.756,0.15
42-123-35013,274.32,608.076,333.756,0.15
42-123-35018,274.32,571.5,297.18,0.15
42-123-35019,274.32,571.5,297.18,0.15
42-123-35020,274.32,571.5,297.18,0.15
42-123-35021,274.32,571.5,297.18,0.15
42-123-35022,274.32,571.5,297.18,0.15
42-123-35023,274.32,571.5,297.18,0.15
42-123-35024,274.32,571.5,297.18,0.15
42-123-35049,563.88,762,198.12,0.15
42-123-35070,304.8,838.2,533.4,0.15
42-123-35071,304.8,838.2,533.4,0.15
42-123-35072,304.8,838.2,533.4,0.15
42-123-35073,304.8,838.2,533.4,0.15
42-123-35074,304.8,838.2,533.4,0.15
42-131-01038,873.252,873.252,0,0.15
42-131-10936,914.4,1072.896,158.496,0.15
42-131-11043,449.58,1354.836,905.256,0.15
42-131-31908,932.688,1088.136,155.448,0.15
42-131-36051,853.44,1246.632,393.192,0.15
42-131-36161,975.36,1463.04,487.68,0.15
42-131-36385,1609.344,1747.1136,137.7696,0.15
42-131-36454,1609.344,1747.1136,137.7696,0.15
42-131-36489,862.584,1524,661.416,0.15
42-131-36722,1197.864,1539.24,341.376,0.15
42-131-36788,1013.46,1280.16,266.7,0.15
42-131-36824,896.112,1341.12,445.008,0.15
42-131-36862,731.52,1554.48,822.96,0.15
42-131-36961,1325.88,1722.12,396.24,0.15
42-131-37999,746.76,929.64,182.88,0.15
42-131-38010,914.4,1795.272,880.872,0.15
42-131-38465,744.9312,990.6,245.6688,0.15
42-131-38823,713.232,853.44,140.208,0.15
42-131-39227,121.92,1066.8,944.88,0.15
42-131-39270,579.12,1190.244,611.124,0.15
42-131-39377,1231.392,1539.24,307.848,0.15
42-131-39438,457.2,975.36,518.16,0.15
42-131-39479,350.52,1158.24,807.72,0.15
42-131-39490,121.92,2072.64,1950.72,0.15
42-131-39501,2926.08,2072.64,-853.44,0.15
42-131-39508,380.3904,898.5504,518.16,0.15
42-131-39519,864.108,1121.664,257.556,0.15
42-131-39538,964.692,1310.64,345.948,0.15
42-131-39572,408.432,1158.24,749.808,0.15
42-131-39579,867.156,1116.1776,249.0216,0.15
42-131-39590,621.792,1005.84,384.048,0.15
42-131-39593,867.156,1116.4824,249.3264,0.15
42-131-39595,853.44,1371.6,518.16,0.15
42-131-39612,1056.4368,1320.3936,263.9568,0.15
42-131-39613,377.952,666.2928,288.3408,0.15
42-131-39617,1123.188,1329.5376,206.3496,0.15
42-131-39618,777.24,1411.224,633.984,0.15
42-131-39622,523.0368,610.2096,87.1728,0.15
42-131-39623,1324.9656,1359.408,34.4424,0.15
42-131-39637,1149.7056,1299.3624,149.6568,0.15
42-131-39659,1350.264,1386.84,36.576,0.15
42-149-33365,195.3768,225.8568,30.48,0.15
42-149-33366,195.3768,225.8568,30.48,0.15
42-157-00679,633.984,1606.296,972.312,0.15
42-157-00740,1693.164,2406.396,713.232,0.15
42-157-00741,1691.64,2406.396,714.756,0.15
42-157-30058,1691.64,2406.396,714.756,0.15
42-157-30102,1005.84,1219.2,213.36,0.15
42-157-30178,982.6752,1226.2104,243.5352,0.15
42-157-30406,1648.968,2061.3624,412.3944,0.15
42-157-30866,1630.0704,2065.02,434.9496,0.15
42-157-30868,1545.0312,2029.0536,484.0224,0.15
42-157-30870,1592.2752,2122.932,530.6568,0.15
42-157-30980,1246.632,1765.4016,518.7696,0.15
42-157-31050,1510.284,1833.372,323.088,0.15
42-157-31060,1367.6376,2018.0808,650.4432,0.15
42-157-31082,1438.656,1913.5344,474.8784,0.15
42-157-31188,1637.9952,1796.796,158.8008,0.15
42-157-31190,1507.5408,1873.3008,365.76,0.15
42-157-31435,1036.32,1706.2704,669.9504,0.15
42-157-31440,1199.6928,1890.3696,690.6768,0.15
42-157-31450,963.168,1250.8992,287.7312,0.15
42-157-31451,980.2368,1242.3648,262.128,0.15
42-157-31463,1186.2816,1295.4,109.1184,0.15
42-157-31496,1042.416,1217.3712,174.9552,0.15
42-157-31502,1437.4368,1909.2672,471.8304,0.15
42-157-31507,1287.4752,1901.952,614.4768,0.15
42-157-31508,905.5608,1269.7968,364.236,0.15
42-157-31514,1473.708,1913.2296,439.5216,0.15
42-157-31526,1245.7176,1975.4088,729.6912,0.15
42-157-31529,1296.924,1661.16,364.236,0.15
42-157-31534,979.0176,1616.6592,637.6416,0.15
42-157-31535,1249.68,2033.016,783.336,0.15
42-157-31545,1108.2528,1430.7312,322.4784,0.15
42-157-31551,1048.512,1871.472,822.96,0.15
42-157-31577,894.8928,1233.8304,338.9376,0.15
42-157-31602,1057.656,1584.96,527.304,0.15
42-157-31609,1018.032,1495.3488,477.3168,0.15
42-157-31611,980.2368,1309.7256,329.4888,0.15
42-157-31613,1603.248,2097.024,493.776,0.15
42-157-31617,1234.44,2011.68,777.24,0.15
42-157-31628,1000.6584,1305.7632,305.1048,0.15
42-157-31637,1258.2144,1919.9352,661.7208,0.15
42-157-31662,1493.52,1920.24,426.72,0.15
42-157-31664,1529.4864,1874.52,345.0336,0.15
42-157-31688,1237.488,1325.5752,88.0872,0.15
42-157-31692,1293.876,1995.2208,701.3448,0.15
42-157-31708,1813.56,1981.2,167.64,0.15
42-157-31723,990.2952,1029.9192,39.624,0.15
42-157-31728,1783.08,1868.424,85.344,0.15
42-157-31735,1651.4064,2299.716,648.3096,0.15
42-157-31737,1676.4,2286,609.6,0.15
42-157-31743,1097.28,2020.824,923.544,0.15
42-157-31760,1676.4,2286,609.6,0.15
42-157-31762,1249.68,2011.68,762,0.15
42-157-31768,1249.68,1965.96,716.28,0.15
42-157-31769,1568.196,2100.072,531.876,0.15
42-157-31798,1539.24,1737.36,198.12,0.15
42-157-31814,1493.52,1798.32,304.8,0.15
42-157-31819,1235.6592,1792.224,556.5648,0.15
42-157-31824,1258.824,2002.536,743.712,0.15
42-157-31843,1261.872,2005.584,743.712,0.15
42-157-31850,1261.872,2002.536,740.664,0.15
42-157-31856,1058.8752,1810.512,751.6368,0.15
42-157-31867,1267.968,2020.824,752.856,0.15
42-157-31869,1305.1536,1835.2008,530.0472,0.15
42-157-31874,1271.6256,2020.824,749.1984,0.15
42-157-31883,1308.8112,1846.1736,537.3624,0.15
42-157-31887,1274.064,2026.92,752.856,0.15
42-157-31896,1267.968,2026.92,758.952,0.15
42-157-31912,1274.064,2031.492,757.428,0.15
42-157-31962,1481.328,1831.848,350.52,0.15
42-157-32023,1380.744,1440.18,59.436,0.15
42-157-32033,1453.896,2014.728,560.832,0.15
42-157-32035,1099.1088,1780.6416,681.5328,0.15
42-157-32043,1871.472,2587.752,716.28,0.15
42-157-32054,1791.9192,2485.3392,693.42,0.15
42-157-32055,1870.5576,2538.984,668.4264,0.15
42-157-32077,1581.912,2072.64,490.728,0.15
42-157-32082,1138.428,1872.3864,733.9584,0.15
42-157-32083,1093.6224,1855.3176,761.6952,0.15
42-157-32084,1245.7176,1945.5384,699.8208,0.15
42-157-32087,1389.888,1905,515.112,0.15
42-157-32095,1595.628,2240.28,644.652,0.15
42-157-32102,1505.712,1999.488,493.776,0.15
42-157-32103,1505.712,1993.392,487.68,0.15
42-157-32108,2509.1136,2636.52,127.4064,0.15
42-157-32110,1633.728,2255.52,621.792,0.15
42-157-32119,1591.056,2011.68,420.624,0.15
42-157-32123,1139.952,1872.996,733.044,0.15
42-157-32125,1569.72,2102.5104,532.7904,0.15
42-157-32126,1630.68,2246.376,615.696,0.15
42-157-32136,1863.852,3082.1376,1218.2856,0.15
42-157-32146,1252.4232,1915.0584,662.6352,0.15
42-157-32147,1622.1456,2243.9376,621.792,0.15
42-157-32148,1615.44,2253.996,638.556,0.15
42-157-32153,1360.932,2016.252,655.32,0.15
42-157-32165,1834.2864,1919.6304,85.344,0.15
42-157-32166,1630.68,2279.904,649.224,0.15
42-157-32167,1360.932,2016.252,655.32,0.15
42-157-32195,1613.3064,2323.7952,710.4888,0.15
42-157-32198,1619.4024,2255.52,636.1176,0.15
42-157-32206,1606.296,2313.432,707.136,0.15
42-157-32215,1185.0624,1917.192,732.1296,0.15
42-157-32220,1275.2832,1902.2568,626.9736,0.15
42-157-32236,1624.8888,2416.4544,791.5656,0.15
42-157-32241,1264.6152,1909.572,644.9568,0.15
42-157-32269,1594.104,2218.944,624.84,0.15
42-157-32281,1683.7152,2279.2944,595.5792,0.15
42-157-32286,1637.3856,2278.9896,641.604,0.15
42-157-32299,1407.2616,2117.7504,710.4888,0.15
42-157-32307,1251.5088,1906.524,655.0152,0.15
42-157-32326,1612.6968,2259.1776,646.4808,0.15
42-157-32335,1588.6176,2275.6368,687.0192,0.15
42-157-32346,1618.488,2255.52,637.032,0.15
42-157-32348,1609.344,1988.5152,379.1712,0.15
42-157-32351,1519.1232,2253.3864,734.2632,0.15
42-157-32388,972.312,1082.04,109.728,0.15
42-157-32392,1582.2168,2110.74,528.5232,0.15
42-157-32403,1073.5056,1254.252,180.7464,0.15
42-157-32418,1405.128,2066.544,661.416,0.15
42-157-32578,1179.2712,1777.5936,598.3224,0.15
42-157-32988,1271.6256,1816.608,544.9824,0.15
42-157-33116,633.984,1606.296,972.312,0.15
42-157-33144,1588.008,1773.936,185.928,0.15
42-157-33201,2148.84,2067.4584,-81.3816,0.15
42-157-33209,1880.616,2072.64,192.024,0.15
42-157-33256,2132.076,1828.8,-303.276,0.15
42-167-30128,2015.6424,3058.3632,1042.7208,0.15
42-167-30978,2511.552,1920.8496,-590.7024,0.15
42-167-31295,2871.216,4439.412,1568.196,0.15
42-167-31332,2526.792,3762.756,1235.964,0.15
42-167-31345,2815.4376,4270.248,1454.8104,0.15
42-167-31426,2912.0592,4732.3248,1820.2656,0.15
42-167-31454,2910.84,4420.2096,1509.3696,0.15
42-167-31500,2867.8632,4426.9152,1559.052,0.15
42-175-00114,670.56,1005.84,335.28,0.15
42-175-00148,822.96,1005.84,182.88,0.15
42-175-00219,670.56,944.88,274.32,0.15
42-175-01052,594.36,1097.28,502.92,0.15
42-175-01478,616.9152,769.0104,152.0952,0.15
42-175-01777,789.432,963.168,173.736,0.15
42-175-01946,1410.6144,1555.0896,144.4752,0.15
42-175-02063,853.44,615.696,-237.744,0.15
42-175-30011,445.008,984.504,539.496,0.15
42-175-30282,943.6608,943.6608,0,0.15
42-175-30542,433.4256,938.1744,504.7488,0.15
42-175-31196,762,914.4,152.4,0.15
42-175-31269,911.352,1027.176,115.824,0.15
42-175-31275,1043.0256,1237.488,194.4624,0.15
42-175-31340,597.408,886.968,289.56,0.15
42-175-31382,1147.8768,1248.4608,100.584,0.15
42-175-31531,579.12,978.408,399.288,0.15
42-175-31566,1037.844,1258.824,220.98,0.15
42-175-31585,660.1968,1264.3104,604.1136,0.15
42-175-31726,487.68,914.4,426.72,0.15
42-175-31769,929.64,990.6,60.96,0.15
42-175-31785,1661.16,1661.16,0,0.15
42-175-31793,853.44,1402.08,548.64,0.15
42-175-31842,579.12,944.88,365.76,0.15
42-175-31874,625.7544,929.3352,303.5808,0.15
42-175-31886,579.4248,1051.56,472.1352,0.15
42-175-31920,641.9088,1104.5952,462.6864,0.15
42-175-31931,667.512,1011.936,344.424,0.15
42-175-31934,862.584,1173.48,310.896,0.15
42-175-31936,842.1624,1229.2584,387.096,0.15
42-175-31997,798.576,987.552,188.976,0.15
42-175-32000,830.58,1171.0416,340.4616,0.15
42-175-32004,1082.04,1568.196,486.156,0.15
42-175-32027,804.672,999.744,195.072,0.15
42-175-32030,822.96,975.36,152.4,0.15
42-175-32065,865.632,1258.824,393.192,0.15
42-175-32097,496.824,954.024,457.2,0.15
42-175-32105,726.6432,1119.2256,392.5824,0.15
42-175-32115,611.4288,903.4272,291.9984,0.15
42-175-32118,718.4136,1116.1776,397.764,0.15
42-175-32133,1082.04,1.524,-1080.516,0.15
42-175-32145,599.8464,910.7424,310.896,0.15
42-175-32152,893.6736,1204.8744,311.2008,0.15
42-175-32174,840.6384,1222.248,381.6096,0.15
42-175-32188,919.8864,1213.104,293.2176,0.15
42-175-32208,518.16,960.7296,442.5696,0.15
42-175-32253,573.024,1037.844,464.82,0.15
42-175-32255,1063.752,1501.14,437.388,0.15
42-175-32262,809.244,1207.008,397.764,0.15
42-175-32284,624.84,929.64,304.8,0.15
42-175-32302,1045.464,1487.1192,441.6552,0.15
42-175-32329,801.0144,1216.152,415.1376,0.15
42-175-32351,989.076,1220.1144,231.0384,0.15
42-175-32365,1036.32,1441.704,405.384,0.15
42-175-32366,1165.5552,1472.7936,307.2384,0.15
42-175-32367,1202.7408,1463.04,260.2992,0.15
42-175-32368,1207.6176,1471.5744,263.9568,0.15
42-175-32382,890.016,1706.88,816.864,0.15
42-175-32392,883.92,1203.96,320.04,0.15
42-175-32396,804.9768,1199.388,394.4112,0.15
42-175-32400,853.44,1219.2,365.76,0.15
42-175-32420,624.84,929.64,304.8,0.15
42-175-32426,817.1688,1192.3776,375.2088,0.15
42-175-32442,670.56,914.4,243.84,0.15
42-175-32446,705.9168,1062.228,356.3112,0.15
42-175-32474,792.1752,1207.008,414.8328,0.15
42-175-32498,930.2496,1100.9376,170.688,0.15
42-175-32503,781.2024,1161.8976,380.6952,0.15
42-175-32512,1554.48,1554.48,0,0.15
42-175-32537,624.84,929.64,304.8,0.15
42-175-32540,794.9184,1210.6656,415.7472,0.15
42-175-32549,604.7232,813.816,209.0928,0.15
42-175-32582,1097.28,1516.9896,419.7096,0.15
42-175-32592,853.44,1127.76,274.32,0.15
42-175-32593,954.024,1108.2528,154.2288,0.15
42-175-32607,677.2656,1069.2384,391.9728,0.15
42-175-32633,859.536,1426.464,566.928,0.15
42-175-32635,594.36,1103.376,509.016,0.15
42-175-32643,853.44,1219.2,365.76,0.15
42-175-32659,782.7264,1194.816,412.0896,0.15
42-175-32660,609.6,914.4,304.8,0.15
42-175-32682,824.1792,1234.44,410.2608,0.15
42-175-32687,655.32,883.92,228.6,0.15
42-175-32688,905.256,1210.056,304.8,0.15
42-175-32707,936.3456,1214.3232,277.9776,0.15
42-175-32721,1042.416,1577.34,534.924,0.15
42-175-32724,655.32,883.92,228.6,0.15
42-175-32725,667.512,1056.4368,388.9248,0.15
42-175-32729,883.92,1528.8768,644.9568,0.15
42-175-32738,598.932,911.0472,312.1152,0.15
42-175-32740,688.848,1255.776,566.928,0.15
42-175-32742,841.8576,1216.4568,374.5992,0.15
42-175-32754,656.844,1051.56,394.716,0.15
42-175-32755,1042.416,1577.34,534.924,0.15
42-175-32776,762,914.4,152.4,0.15
42-175-32777,879.348,1203.96,324.612,0.15
42-175-32779,1042.416,1571.8536,529.4376,0.15
42-175-32791,859.536,1237.7928,378.2568,0.15
42-175-32794,1240.536,1552.0416,311.5056,0.15
42-175-32795,1271.016,1553.2608,282.2448,0.15
42-175-32796,1261.872,1532.5344,270.6624,0.15
42-175-32801,1042.416,1577.34,534.924,0.15
42-175-32814,813.816,1219.2,405.384,0.15
42-175-32823,1042.416,1577.34,534.924,0.15
42-175-32825,759.5616,1182.9288,423.3672,0.15
42-175-32834,911.352,1219.2,307.848,0.15
42-175-32842,1441.704,1554.48,112.776,0.15
42-175-32848,597.408,950.976,353.568,0.15
42-175-32850,1042.416,1577.34,534.924,0.15
42-175-32865,512.064,918.972,406.908,0.15
42-175-32875,502.92,957.072,454.152,0.15
42-175-32877,1075.944,1535.5824,459.6384,0.15
42-175-32884,856.1832,1226.5152,370.332,0.15
42-175-32887,752.856,1042.416,289.56,0.15
42-175-32889,749.808,1042.416,292.608,0.15
42-175-32897,722.376,1054.608,332.232,0.15
42-175-32908,816.2544,1218.5904,402.336,0.15
42-175-32909,822.96,1228.344,405.384,0.15
42-175-32912,1388.9736,1524,135.0264,0.15
42-175-32935,643.128,972.312,329.184,0.15
42-175-32941,1078.992,1539.24,460.248,0.15
42-175-32980,609.6,972.312,362.712,0.15
42-175-33004,579.12,961.644,382.524,0.15
42-175-33071,838.2,1423.416,585.216,0.15
42-175-33077,856.488,1502.664,646.176,0.15
42-175-33095,739.14,1176.528,437.388,0.15
42-175-33112,728.472,1170.432,441.96,0.15
42-175-33116,1189.9392,1395.984,206.0448,0.15
42-175-33122,1184.4528,1402.08,217.6272,0.15
42-175-33123,1199.6928,1386.84,187.1472,0.15
42-175-33136,861.06,1353.312,492.252,0.15
42-175-33138,865.632,1356.36,490.728,0.15
42-175-33140,1171.6512,1368.552,196.9008,0.15
42-175-33142,743.712,1256.0808,512.3688,0.15
42-175-33143,751.332,1210.056,458.724,0.15
42-175-33146,798.576,1281.684,483.108,0.15
42-175-33147,609.6,920.496,310.896,0.15
42-175-33155,530.352,993.648,463.296,0.15
42-175-33156,739.14,1193.292,454.152,0.15
42-175-33159,530.352,989.076,458.724,0.15
42-175-33168,829.3608,929.0304,99.6696,0.15
42-175-33172,1269.492,1557.528,288.036,0.15
42-175-33174,754.38,1205.484,451.104,0.15
42-175-33177,704.088,1112.52,408.432,0.15
42-175-33180,612.0384,960.7296,348.6912,0.15
42-175-33184,684.276,1091.184,406.908,0.15
42-175-33186,658.368,1040.892,382.524,0.15
42-175-33188,701.04,914.4,213.36,0.15
42-175-33197,682.752,1138.428,455.676,0.15
42-175-33201,882.7008,1082.6496,199.9488,0.15
42-175-33204,835.7616,991.8192,156.0576,0.15
