api_number,depth_top,depth_bot,thickness,porosity
42-025-33916,914.4,1214.628,300.228,0.15
42-025-33919,868.68,1216.152,347.472,0.15
42-025-33921,688.848,905.256,216.408,0.15
42-025-33925,659.5872,837.5904,178.0032,0.15
42-025-33928,822.96,914.4,91.44,0.15
42-025-33932,995.172,1053.3888,58.2168,0.15
42-025-33935,846.7344,899.16,52.4256,0.15
42-025-33937,883.92,914.4,30.48,0.15
42-025-33938,1005.84,1066.8,60.96,0.15
42-025-33943,893.064,1203.96,310.896,0.15
42-025-33944,854.3544,1070.4576,216.1032,0.15
42-025-33945,1188.72,1734.312,545.592,0.15
42-025-33946,954.6336,982.0656,27.432,0.15
42-025-33947,1066.8,1219.2,152.4,0.15
42-025-33948,975.0552,1039.6728,64.6176,0.15
42-025-33949,688.848,801.624,112.776,0.15
42-025-33952,521.208,822.0456,300.8376,0.15
42-025-33955,591.6168,888.7968,297.18,0.15
42-025-33965,629.412,1036.32,406.908,0.15
42-025-33966,861.9744,959.2056,97.2312,0.15
42-025-33967,644.652,959.2056,314.5536,0.15
42-025-33970,668.7312,1003.0968,334.3656,0.15
42-025-33972,929.64,1219.2,289.56,0.15
42-025-33976,533.4,1188.72,655.32,0.15
42-025-33978,802.5384,858.3168,55.7784,0.15
42-025-33987,857.4024,915.924,58.5216,0.15
42-025-33993,948.2328,995.172,46.9392,0.15
42-025-34001,940.9176,1009.4976,68.58,0.15
42-025-34002,661.416,853.44,192.024,0.15
42-039-31654,822.96,947.928,124.968,0.15
42-039-31980,1996.44,2545.08,548.64,0.15
42-039-32349,2545.08,4064.508,1519.428,0.15
42-039-32744,1757.172,2435.352,678.18,0.15
42-039-32748,1808.988,2523.744,714.756,0.15
42-039-32763,1773.936,330.708,-1443.228,0.15
42-039-32881,1780.032,2450.592,670.56,0.15
42-039-32947,2407.92,2657.856,249.936,0.15
42-039-33055,2075.688,2697.7848,622.0968,0.15
42-047-00275,2280.5136,2166.2136,-114.3,0.15
42-047-00820,1127.76,1990.344,862.584,0.15
42-047-00868,225.552,1645.92,1420.368,0.15
42-047-01365,2133.6,2682.24,548.64,0.15
42-047-01420,2194.56,2545.08,350.52,0.15
42-047-01421,2189.0736,2607.2592,418.1856,0.15
42-047-01524,2196.3888,2607.2592,410.8704,0.15
42-047-30137,1179.576,2644.14,1464.564,0.15
42-047-30171,1889.76,3602.736,1712.976,0.15
42-047-30649,1219.2,1981.2,762,0.15
42-047-30868,1838.5536,2401.824,563.2704,0.15
42-047-30903,1066.8,2286,1219.2,0.15
42-047-31298,762,762,0,0.15
42-047-31343,1066.8,2133.6,1066.8,0.15
42-047-31344,1066.8,2133.6,1066.8,0.15
42-047-31355,2468.88,2545.08,76.2,0.15
42-047-31362,2819.7048,2819.7048,0,0.15
42-047-31375,1051.56,2136.648,1085.088,0.15
42-047-31432,2133.6,2590.8,457.2,0.15
42-047-31478,1341.12,1859.28,518.16,0.15
42-047-31502,1341.12,1874.52,533.4,0.15
42-047-31541,1162.812,2043.684,880.872,0.15
42-047-31560,1341.12,1859.28,518.16,0.15
42-047-31561,2811.4752,2380.488,-430.9872,0.15
42-047-31576,975.36,2331.72,1356.36,0.15
