api_number,depth_top,depth_bot,thickness,porosity,coord_latitude,coord_longitude
42-123-33876,91.44,411.48,320.04,0.15,29.1721529,-97.4698336
42-123-33878,91.44,411.48,320.04,0.15,29.1724474,-97.4686434
42-123-33879,91.44,411.48,320.04,0.15,29.1727932,-97.4675598
42-123-33880,128.016,387.096,259.08,0.15,29.1452678,-97.4564773
42-123-33881,128.016,387.096,259.08,0.15,29.1439295,-97.4575788
42-123-33882,91.44,411.48,320.04,0.15,29.1732271,-97.4665666
42-123-33884,91.44,411.48,320.04,0.15,29.1734184,-97.4657268
42-123-33885,91.44,350.52,259.08,0.15,29.1727789,-97.463894
42-123-33886,128.016,387.096,259.08,0.15,29.146376,-97.4555078
42-123-33887,91.44,411.48,320.04,0.15,29.1739649,-97.4637224
42-123-33888,91.44,411.48,320.04,0.15,29.1743975,-97.4624862
42-123-33889,128.016,387.096,259.08,0.15,29.1482484,-97.4529576
42-123-33891,128.016,387.096,259.08,0.15,29.148649,-97.4516134
42-123-33893,143.256,402.336,259.08,0.15,29.144823,-97.4483523
42-123-33894,143.256,402.336,259.08,0.15,29.1445283,-97.4466099
42-123-33895,152.4,411.48,259.08,0.15,29.1431093,-97.44482
42-123-33896,152.4,411.48,259.08,0.15,29.1461841,-97.4447547
42-123-33909,219.7608,493.4712,273.7104,0.15,29.0649323,-97.5504052
42-123-33910,218.8464,495.3,276.4536,0.15,29.0656932,-97.5500837
42-123-33914,537.3624,706.8312,169.4688,0.15,29.0959341,-97.5132806
42-123-33919,185.928,445.008,259.08,0.15,29.1631253,-97.4431712
42-123-33921,152.4,411.48,259.08,0.15,29.1487117,-97.4417109
42-123-33923,188.976,448.056,259.08,0.15,29.1635389,-97.441847
42-123-33924,188.976,448.056,259.08,0.15,29.1639949,-97.4406336
42-123-33925,152.4,411.48,259.08,0.15,29.1467747,-97.4381914
42-123-33926,152.4,411.48,259.08,0.15,29.1513506,-97.4443426
42-123-33928,152.4,411.48,259.08,0.15,29.1479887,-97.4400653
42-123-33929,91.44,350.52,259.08,0.15,29.1403044,-97.4660765
42-123-33930,91.44,411.48,320.04,0.15,29.1402851,-97.4672858
42-123-33931,91.44,411.48,320.04,0.15,29.1402512,-97.4685146
42-123-33932,91.44,411.48,320.04,0.15,29.1401637,-97.4609903
42-123-33933,91.44,350.52,259.08,0.15,29.1392514,-97.4619412
42-123-33934,91.44,411.48,320.04,0.15,29.1394761,-97.4632438
42-123-33935,91.44,411.48,320.04,0.15,29.1395806,-97.4644903
42-123-33936,91.44,411.48,320.04,0.15,29.1425317,-97.4704941
42-123-33937,91.44,411.48,320.04,0.15,29.1430209,-97.4719961
42-123-33947,583.692,704.3928,120.7008,0.15,28.9323188,-97.6464211
42-123-33948,584.9112,706.2216,121.3104,0.15,28.9331091,-97.6463253
42-123-33949,584.6064,707.4408,122.8344,0.15,28.9335494,-97.6457746
42-123-33956,91.44,411.48,320.04,0.15,29.1418937,-97.4594996
42-123-33957,91.44,411.48,320.04,0.15,29.1426094,-97.4585389
42-123-33960,289.56,680.6184,391.0584,0.15,29.0010391,-97.5458938
42-123-33961,289.56,681.8376,392.2776,0.15,29.0013629,-97.5438935
42-123-33962,289.56,680.9232,391.3632,0.15,29.0024678,-97.5437135
42-123-33963,289.56,680.0088,390.4488,0.15,29.0032703,-97.542886
42-123-33964,289.56,685.4952,395.9352,0.15,29.0056694,-97.5418349
42-123-33965,289.56,685.8,396.24,0.15,29.0077796,-97.5407464
42-123-33966,289.56,682.752,393.192,0.15,29.0065723,-97.5412656
42-123-33976,30.48,152.4,121.92,0.15,29.2372192,-97.40978
42-123-33977,30.48,152.4,121.92,0.15,29.2365126,-97.4112039
42-123-33978,30.48,152.4,121.92,0.15,29.2359612,-97.4122883
42-123-33979,30.48,152.4,121.92,0.15,29.2354911,-97.4136917
42-123-33980,274.32,639.1656,364.8456,0.15,29.0421468,-97.5325444
42-123-33981,30.48,152.4,121.92,0.15,29.2352885,-97.4148645
42-123-33982,30.48,152.4,121.92,0.15,29.2346917,-97.4161538
42-123-33983,30.48,152.4,121.92,0.15,29.2344568,-97.4174498
42-123-33984,188.976,448.056,259.08,0.15,29.2341035,-97.4187141
42-123-33985,30.48,152.4,121.92,0.15,29.2337838,-97.4201372
42-123-33986,274.0152,638.8608,364.8456,0.15,29.0428052,-97.531848
42-123-33987,273.7104,627.888,354.1776,0.15,29.0387478,-97.5329558
42-123-33988,274.32,629.1072,354.7872,0.15,29.0407083,-97.5322416
42-123-33989,274.32,635.2032,360.8832,0.15,29.0401305,-97.5330805
42-123-33990,30.48,152.4,121.92,0.15,29.2778858,-97.4095037
42-123-33991,30.48,152.4,121.92,0.15,29.2551958,-97.4021655
42-123-33992,30.48,152.4,121.92,0.15,29.2556228,-97.4008535
42-123-33993,30.48,152.4,121.92,0.15,29.2778614,-97.4079673
42-123-34000,30.48,152.4,121.92,0.15,29.2363933,-97.3984589
42-123-34001,30.48,152.4,121.92,0.15,29.2363835,-97.3970611
42-123-34002,30.48,152.4,121.92,0.15,29.2369081,-97.3959013
42-123-34006,545.2872,659.892,114.6048,0.15,28.906124,-97.637207
42-123-34007,584.9112,705.9168,121.0056,0.15,28.9339982,-97.645375
42-123-34008,1310.64,1700.784,390.144,0.15,28.9636884,-97.3009114
42-123-34009,579.7296,708.0504,128.3208,0.15,28.9420694,-97.6253798
42-123-34010,603.1992,730.3008,127.1016,0.15,28.9446648,-97.6236754
42-123-34011,585.5208,704.3928,118.872,0.15,28.9339577,-97.6445773
42-123-34012,152.4,411.48,259.08,0.15,29.199046,-97.4434555
42-123-34013,152.4,411.48,259.08,0.15,29.1996098,-97.4420953
42-123-34014,91.44,335.28,243.84,0.15,29.0456865,-97.6277168
42-123-34015,213.36,579.12,365.76,0.15,29.0430101,-97.6294895
42-123-34016,213.36,579.12,365.76,0.15,29.0418725,-97.6300028
42-123-34017,30.48,152.4,121.92,0.15,29.2410645,-97.3936854
42-123-34020,30.48,152.4,121.92,0.15,29.2377127,-97.393141
42-123-34021,30.48,152.4,121.92,0.15,29.2761023,-97.4058074
42-123-34022,30.48,152.4,121.92,0.15,29.2733079,-97.4029754
42-123-34023,136.2456,430.0728,293.8272,0.15,29.0273401,-97.6077654
42-123-34025,136.2456,430.0728,293.8272,0.15,29.0255622,-97.6093992
42-123-34026,136.2456,430.0728,293.8272,0.15,29.0235247,-97.6108972
42-123-34028,136.2456,430.0728,293.8272,0.15,29.0267507,-97.6088454
42-123-34029,389.2296,633.0696,243.84,0.15,29.0297011,-97.6279231
42-123-34030,30.48,152.4,121.92,0.15,29.2728105,-97.4009832
42-123-34031,389.2296,633.0696,243.84,0.15,29.026009,-97.6303268
42-123-34033,30.48,152.4,121.92,0.15,29.2563722,-97.4153073
42-123-34034,389.2296,633.0696,243.84,0.15,29.027012,-97.6296672
42-123-34035,389.2296,633.0696,243.84,0.15,29.0280155,-97.6285684
42-123-34036,30.48,152.4,121.92,0.15,29.2395556,-97.3919655
42-123-34037,152.4,411.48,259.08,0.15,29.1998924,-97.4406021
42-123-34038,350.2152,578.8152,228.6,0.15,29.0406849,-97.630903
42-123-34040,30.48,152.4,121.92,0.15,29.2357324,-97.3992631
42-123-34041,30.48,152.4,121.92,0.15,29.2624744,-97.4165026
42-123-34042,30.48,152.4,121.92,0.15,29.2337829,-97.404711
42-123-34043,30.48,152.4,121.92,0.15,29.2341185,-97.4036969
42-123-34044,30.48,152.4,121.92,0.15,29.2348942,-97.4013205
42-123-34045,30.48,152.4,121.92,0.15,29.2352495,-97.4002685
42-123-34048,268.8336,459.9432,191.1096,0.15,29.0734671,-97.5457267
42-123-34049,268.8336,459.9432,191.1096,0.15,29.0726036,-97.5460715
42-123-34050,269.748,461.1624,191.4144,0.15,29.0726574,-97.5461433
42-123-34052,269.748,461.1624,191.4144,0.15,29.0718235,-97.5464207
42-123-34060,256.032,670.56,414.528,0.15,28.9697158,-97.604724
42-123-34061,274.32,640.08,365.76,0.15,29.0557305,-97.5188012
42-123-34062,709.5744,992.7336,283.1592,0.15,29.0544256,-97.5192836
42-123-34063,274.32,626.364,352.044,0.15,29.053861,-97.5198418
42-123-34064,274.32,630.936,356.616,0.15,29.0525768,-97.5202203
42-123-34065,274.32,630.6312,356.3112,0.15,29.0515365,-97.5207955
42-123-34066,274.32,633.984,359.664,0.15,29.0510626,-97.5215519
42-123-34067,284.3784,459.6384,175.26,0.15,29.111409,-97.5971002
42-123-34068,284.3784,455.9808,171.6024,0.15,29.1106757,-97.5971169
42-123-34069,284.3784,459.6384,175.26,0.15,29.1118867,-97.5965196
42-123-34070,285.9024,455.3712,169.4688,0.15,29.110328,-97.5976367
42-123-34089,268.224,679.704,411.48,0.15,28.9834145,-97.6150299
42-123-34093,160.02,426.72,266.7,0.15,29.2172609,-97.412137
42-123-34094,160.02,426.72,266.7,0.15,29.2156256,-97.4156233
42-123-34095,160.02,426.72,266.7,0.15,29.2147689,-97.4169089
42-123-34096,160.02,426.72,266.7,0.15,29.2140376,-97.4184906
42-123-34097,160.02,426.72,266.7,0.15,29.2137215,-97.4201966
42-123-34098,160.02,426.72,266.7,0.15,29.2133137,-97.4216988
42-123-34099,152.4,411.48,259.08,0.15,29.1835126,-97.4080986
42-123-34100,152.4,411.48,259.08,0.15,29.1853852,-97.4073822
42-123-34101,152.4,411.48,259.08,0.15,29.1862753,-97.4054817
42-123-34102,152.4,411.48,259.08,0.15,29.1716144,-97.423241
42-123-34103,152.4,411.48,259.08,0.15,29.1718069,-97.422121
42-123-34104,152.4,411.48,259.08,0.15,29.1723832,-97.4208739
42-123-34105,152.4,411.48,259.08,0.15,29.1726722,-97.4194763
42-123-34106,276.4536,401.4216,124.968,0.15,29.1012108,-97.566815
42-123-34110,160.02,426.72,266.7,0.15,29.2128272,-97.4234283
42-123-34113,682.752,974.7504,291.9984,0.15,29.0501224,-97.5446878
42-123-34114,697.992,984.504,286.512,0.15,29.052102,-97.5455407
42-123-34115,740.664,987.552,246.888,0.15,29.0541764,-97.5464137
42-123-34116,746.4552,980.8464,234.3912,0.15,29.0549568,-97.545999
42-123-34117,746.4552,1002.4872,256.032,0.15,29.0558344,-97.5455838
42-123-34118,672.9984,965.9112,292.9128,0.15,29.0505699,-97.545062
42-123-34125,110.9472,382.524,271.5768,0.15,29.1781388,-97.4101628
42-123-34126,114.3,384.048,269.748,0.15,29.1789801,-97.4093401
42-123-34127,145.0848,398.6784,253.5936,0.15,29.1801085,-97.4078889
42-123-34128,152.4,411.48,259.08,0.15,29.1744976,-97.411422
42-123-34129,152.4,411.48,259.08,0.15,29.1778404,-97.4116868
42-123-34130,152.4,411.48,259.08,0.15,29.205389,-97.4238322
42-123-34131,160.02,426.72,266.7,0.15,29.2060872,-97.4228815
42-123-34132,152.4,411.48,259.08,0.15,29.2050146,-97.4249465
42-123-34133,160.02,426.72,266.7,0.15,29.2081943,-97.4222681
42-123-34134,143.256,402.336,259.08,0.15,29.1842773,-97.433803
42-123-34135,143.256,402.336,259.08,0.15,29.1846655,-97.432765
42-123-34136,99.3648,307.5432,208.1784,0.15,29.1848974,-97.4315343
42-123-34137,99.3648,307.5432,208.1784,0.15,29.1852625,-97.4305407
42-123-34138,252.6792,457.5048,204.8256,0.15,29.0164158,-97.6247057
42-123-34139,252.6792,457.5048,204.8256,0.15,29.0178498,-97.6279057
42-123-34140,167.3352,487.3752,320.04,0.15,29.0206477,-97.6331404
42-123-34141,167.64,487.3752,319.7352,0.15,28.999842,-97.6066727
42-123-34144,111.5568,365.1504,253.5936,0.15,29.1732348,-97.4184923
42-123-34145,113.0808,366.6744,253.5936,0.15,29.1732711,-97.4168077
42-123-34146,116.7384,370.332,253.5936,0.15,29.1738128,-97.4156548
42-123-34147,114.3,367.8936,253.5936,0.15,29.1727519,-97.4138266
42-123-34148,182.88,457.2,274.32,0.15,29.0213432,-97.6326185
42-123-34151,144.4752,589.4832,445.008,0.15,29.0192936,-97.6340617
42-123-34155,243.84,609.6,365.76,0.15,29.0339732,-97.537544
42-123-34156,243.84,608.076,364.236,0.15,29.0348429,-97.5370512
42-123-34159,285.9024,399.288,113.3856,0.15,29.1021894,-97.56658
42-123-34160,144.4752,589.4832,445.008,0.15,28.9978621,-97.60778
42-123-34161,144.4752,589.4832,445.008,0.15,28.9965127,-97.6091212
42-123-34163,243.84,608.9904,365.1504,0.15,29.0542055,-97.5540087
42-123-34164,243.84,608.076,364.236,0.15,29.0548712,-97.5533761
42-123-34165,243.84,609.6,365.76,0.15,29.0556276,-97.5531696
42-123-34170,364.8456,623.9256,259.08,0.15,29.0491098,-97.6509404
42-123-34173,160.02,426.72,266.7,0.15,29.2102713,-97.4321929
42-123-34176,121.3104,419.1,297.7896,0.15,29.001457,-97.6237177
42-123-34177,121.3104,419.1,297.7896,0.15,29.0039415,-97.6262191
42-123-34178,121.3104,419.1,297.7896,0.15,29.0079606,-97.6309451
42-123-34179,121.3104,419.1,297.7896,0.15,29.0102695,-97.6325716
42-123-34185,292.608,581.8632,289.2552,0.15,29.059546,-97.6071711
42-123-34186,305.4096,614.172,308.7624,0.15,29.0594073,-97.6084716
42-123-34187,302.9712,633.0696,330.0984,0.15,29.0589902,-97.6091091
42-123-34196,755.2944,973.5312,218.2368,0.15,29.029375,-97.5930783
42-123-34197,703.4784,994.2576,290.7792,0.15,29.0310883,-97.5917287
42-123-34198,741.2736,987.2472,245.9736,0.15,29.0323248,-97.5906359
42-123-34200,121.3104,419.1,297.7896,0.15,28.9986065,-97.620747
42-123-34202,121.3104,419.1,297.7896,0.15,29.0005059,-97.619456
42-123-34240,121.92,370.332,248.412,0.15,29.1963552,-97.451641
42-123-34241,121.3104,369.7224,248.412,0.15,29.1959977,-97.4527424
42-123-34242,116.1288,364.5408,248.412,0.15,29.19564,-97.4538394
42-123-34251,282.8544,420.624,137.7696,0.15,29.1011502,-97.6031462
42-123-34252,287.7312,434.0352,146.304,0.15,29.1020869,-97.6023316
42-123-34253,289.56,431.5968,142.0368,0.15,29.1029757,-97.6023376
42-123-34254,278.2824,427.6344,149.352,0.15,29.1030913,-97.6011942
42-123-34255,274.32,435.2544,160.9344,0.15,29.1032305,-97.601253
42-123-34256,283.7688,423.9768,140.208,0.15,29.1038033,-97.601231
42-123-34260,23.7744,272.1864,248.412,0.15,29.206692,-97.4668018
42-123-34261,20.1168,268.5288,248.412,0.15,29.2069355,-97.4660485
42-123-34262,28.956,277.368,248.412,0.15,29.2074972,-97.4637522
42-123-34263,25.6032,274.0152,248.412,0.15,29.2078669,-97.4626526
42-123-34264,34.7472,283.1592,248.412,0.15,29.2081073,-97.4614967
42-123-34265,37.7952,286.2072,248.412,0.15,29.2085561,-97.4605897
42-123-34266,40.8432,289.2552,248.412,0.15,29.2090677,-97.4594666
42-123-34267,46.0248,294.4368,248.412,0.15,29.2105839,-97.4544787
42-123-34268,40.8432,289.2552,248.412,0.15,29.2102516,-97.455783
42-123-34269,40.8432,289.2552,248.412,0.15,29.2098552,-97.4570189
42-123-34270,39.624,288.036,248.412,0.15,29.209284,-97.4582071
42-123-34273,136.2456,430.0728,293.8272,0.15,29.030158,-97.6252155
42-123-34274,389.2296,633.0696,243.84,0.15,29.0292799,-97.6282031
42-123-34275,182.88,457.2,274.32,0.15,29.0272951,-97.6294464
42-123-34294,315.1632,533.4,218.2368,0.15,29.0494188,-97.6252258
42-123-34295,318.516,532.7904,214.2744,0.15,29.0492281,-97.624968
42-123-34296,317.6016,531.876,214.2744,0.15,29.0498156,-97.6245233
42-123-34297,310.896,525.1704,214.2744,0.15,29.050534,-97.6243143
42-123-34298,307.2384,525.1704,217.932,0.15,29.0504783,-97.6242471
42-123-34299,308.1528,526.0848,217.932,0.15,29.0510277,-97.6237799
42-123-34301,207.264,435.5592,228.2952,0.15,29.0870683,-97.5397486
42-123-34302,207.8736,432.5112,224.6376,0.15,29.0880743,-97.5394713
42-123-34306,207.8736,435.2544,227.3808,0.15,29.0878745,-97.5390666
42-123-34307,207.8736,435.2544,227.3808,0.15,29.089317,-97.5380164
42-123-34313,291.9984,513.8928,221.8944,0.15,29.0598668,-97.5448451
42-123-34314,291.9984,513.8928,221.8944,0.15,29.0587151,-97.5447235
42-123-34315,291.9984,513.8928,221.8944,0.15,29.0589953,-97.5451767
42-123-34316,291.9984,513.8928,221.8944,0.15,29.0580089,-97.5456754
42-123-34317,205.74,431.9016,226.1616,0.15,29.0893167,-97.5383444
42-123-34318,207.8736,435.2544,227.3808,0.15,29.0887544,-97.5385005
42-123-34319,310.2864,482.8032,172.5168,0.15,29.0805958,-97.5808016
42-123-34320,310.2864,483.4128,173.1264,0.15,29.0793902,-97.5800681
42-123-34321,310.2864,483.4128,173.1264,0.15,29.0793861,-97.5798741
42-123-34322,310.2864,483.108,172.8216,0.15,29.0787711,-97.5804318
42-123-34323,310.2864,482.8032,172.5168,0.15,29.0780356,-97.5806632
42-123-34324,310.2864,482.8032,172.5168,0.15,29.0781242,-97.5805066
42-123-34325,177.3936,409.6512,232.2576,0.15,29.0981369,-97.5120507
42-123-34326,177.3936,409.6512,232.2576,0.15,29.1005088,-97.510765
42-123-34327,175.8696,409.3464,233.4768,0.15,29.0984357,-97.5116255
42-123-34328,176.1744,409.6512,233.4768,0.15,29.0988406,-97.5111604
42-123-34329,177.0888,410.8704,233.7816,0.15,29.0998248,-97.5119163
42-123-34330,177.3936,411.1752,233.7816,0.15,29.1001574,-97.5111367
42-123-34354,57.3024,276.4536,219.1512,0.15,29.2813733,-97.2979477
42-123-34355,67.6656,289.2552,221.5896,0.15,29.2824514,-97.2933259
42-123-34356,75.5904,297.18,221.5896,0.15,29.2822688,-97.2909023
42-123-34357,88.392,309.9816,221.5896,0.15,29.2814708,-97.2879728
42-123-34359,58.8264,280.416,221.5896,0.15,29.2829108,-97.2959694
42-123-34362,278.5872,308.4576,29.8704,0.15,29.0885858,-97.5587098
42-123-34363,281.3304,308.4576,27.1272,0.15,29.088579,-97.5587918
42-123-34364,278.5872,308.4576,29.8704,0.15,29.0870491,-97.5595365
42-123-34365,278.5872,308.4576,29.8704,0.15,29.0870038,-97.5594824
42-123-34366,278.5872,305.7144,27.1272,0.15,29.0875677,-97.5585287
42-123-34367,275.844,308.4576,32.6136,0.15,29.0862926,-97.559939
42-123-34368,278.5872,305.7144,27.1272,0.15,29.0878491,-97.5592013
42-123-34369,362.4072,764.7432,402.336,0.15,29.0335879,-97.557862
42-123-34374,380.6952,746.4552,365.76,0.15,29.0332931,-97.5608613
42-123-34418,183.1848,432.2064,249.0216,0.15,29.1186964,-97.5422758
42-123-34431,89.6112,311.2008,221.5896,0.15,29.2814358,-97.2863214
42-123-34440,377.0376,660.1968,283.1592,0.15,29.059191,-97.5340253
42-123-34441,376.428,660.1968,283.7688,0.15,29.061779,-97.5328456
42-123-34442,376.7328,660.8064,284.0736,0.15,29.0618178,-97.5327325
42-123-34443,376.7328,660.8064,284.0736,0.15,29.0605706,-97.5321879
42-123-34444,376.428,661.1112,284.6832,0.15,29.0600391,-97.5336866
42-123-34445,377.0376,662.3304,285.2928,0.15,29.0599603,-97.5334738
42-123-34446,121.3104,547.7256,426.4152,0.15,29.0188549,-97.6580652
42-123-34447,121.3104,547.7256,426.4152,0.15,29.0208296,-97.6569996
42-123-34448,121.3104,547.7256,426.4152,0.15,29.0223787,-97.6558374
42-123-34449,309.372,531.876,222.504,0.15,29.0516591,-97.6232192
42-123-34450,144.4752,579.12,434.6448,0.15,28.9905013,-97.6265731
42-123-34451,309.6768,531.876,222.1992,0.15,29.0523095,-97.6236004
42-123-34452,308.7624,529.4376,220.6752,0.15,29.0515178,-97.6237604
42-123-34453,300.8376,520.9032,220.0656,0.15,29.0565267,-97.6209168
42-123-34454,300.8376,520.9032,220.0656,0.15,29.0565072,-97.6205877
42-123-34455,300.8376,520.9032,220.0656,0.15,29.0531397,-97.6228542
42-123-34456,300.8376,520.9032,220.0656,0.15,29.0552107,-97.6214689
42-123-34457,249.936,322.7832,72.8472,0.15,29.1429796,-97.5836135
42-123-34458,249.936,322.7832,72.8472,0.15,29.1434436,-97.5831669
42-123-34459,249.936,322.7832,72.8472,0.15,29.1438988,-97.5827297
42-123-34460,249.936,322.7832,72.8472,0.15,29.1404645,-97.583347
42-123-34461,300.8376,520.9032,220.0656,0.15,29.0551722,-97.6213882
42-123-34462,300.8376,520.9032,220.0656,0.15,29.0547262,-97.6220158
42-123-34463,249.936,322.7832,72.8472,0.15,29.1443124,-97.5822312
42-123-34464,300.8376,520.9032,220.0656,0.15,29.0560652,-97.6211729
42-123-34466,144.4752,578.8152,434.34,0.15,29.0167968,-97.6366122
42-123-34467,144.4752,578.8152,434.34,0.15,29.0125641,-97.639268
42-123-34468,144.4752,578.8152,434.34,0.15,29.0106498,-97.6415832
42-123-34469,144.4752,589.4832,445.008,0.15,28.9989698,-97.607201
42-123-34470,144.4752,589.4832,445.008,0.15,29.0187173,-97.6343782
42-123-34471,515.112,668.7312,153.6192,0.15,28.908622,-97.6353667
42-123-34472,513.2832,662.3304,149.0472,0.15,28.9074679,-97.6364422
42-123-34485,394.716,814.7304,420.0144,0.15,28.961983,-97.5731073
42-123-34486,391.9728,808.3296,416.3568,0.15,28.9623482,-97.571404
42-123-34487,393.4968,818.388,424.8912,0.15,28.9639555,-97.5700725
42-123-34488,393.4968,815.6448,422.148,0.15,28.9639316,-97.5667867
42-123-34489,393.192,817.7784,424.5864,0.15,28.9638406,-97.5644644
42-123-34499,2464.6128,416.052,-2048.5608,0.15,29.0848273,-97.5933989
42-123-34500,246.2784,416.6616,170.3832,0.15,29.0843204,-97.5936966
42-123-34501,2457.6024,416.6616,-2040.9408,0.15,29.0841583,-97.593533
42-123-34502,2455.4688,416.3568,-2039.112,0.15,29.0836277,-97.594109
42-123-34503,2455.4688,416.6616,-2038.8072,0.15,29.0823781,-97.59466
42-123-34504,2455.7736,416.6616,-2039.112,0.15,29.082783,-97.5942532
42-123-34506,749.808,1048.512,298.704,0.15,29.2348519,-97.4567513
42-123-34507,749.808,1048.512,298.704,0.15,29.2357324,-97.4579568
42-123-34508,749.808,1048.512,298.704,0.15,29.2355537,-97.458685
42-123-34509,749.808,1048.512,298.704,0.15,29.2352306,-97.4595368
42-123-34510,749.808,1048.512,298.704,0.15,29.2350383,-97.4603781
42-123-34511,749.808,1048.512,298.704,0.15,29.2353876,-97.4562428
42-123-34512,185.928,356.3112,170.3832,0.15,29.1548411,-97.5020295
42-123-34514,175.8696,348.996,173.1264,0.15,29.1500268,-97.5071041
42-123-34515,182.2704,356.3112,174.0408,0.15,29.1492986,-97.5076152
42-123-34516,182.2704,355.3968,173.1264,0.15,29.1506976,-97.5064459
42-123-34517,182.2704,355.3968,173.1264,0.15,29.1513336,-97.5060082
42-123-34518,175.8696,352.6536,176.784,0.15,29.1518717,-97.5052177
42-123-34519,185.928,355.3968,169.4688,0.15,29.1526373,-97.5047625
42-123-34520,185.928,366.6744,180.7464,0.15,29.1529961,-97.5039138
42-123-34521,197.2056,359.0544,161.8488,0.15,29.1535834,-97.5033674
42-123-34523,193.548,359.0544,165.5064,0.15,29.1524589,-97.5045046
42-123-34524,182.88,352.3488,169.4688,0.15,29.1542922,-97.5027496
42-123-34531,365.76,640.08,274.32,0.15,29.3612097,-97.2316716
42-123-34532,365.76,731.52,365.76,0.15,29.362804,-97.2306161
42-123-34533,365.76,640.08,274.32,0.15,29.3647175,-97.2299553
42-123-34563,249.936,322.7832,72.8472,0.15,29.1336142,-97.5897135
42-123-34564,249.936,322.7832,72.8472,0.15,29.1342059,-97.5892305
42-123-34565,249.936,322.7832,72.8472,0.15,29.1346246,-97.5889258
42-123-34566,249.936,322.7832,72.8472,0.15,29.1351658,-97.5884868
42-123-34567,249.936,322.7832,72.8472,0.15,29.135868,-97.5882436
42-123-34569,293.2176,473.964,180.7464,0.15,29.0577446,-97.5862526
42-123-34570,292.3032,472.7448,180.4416,0.15,29.0579224,-97.5864008
42-123-34571,294.132,473.6592,179.5272,0.15,29.0573804,-97.5831317
42-123-34572,293.8272,473.3544,179.5272,0.15,29.0595394,-97.5865084
42-123-34573,294.4368,473.3544,178.9176,0.15,29.0589539,-97.5863402
42-123-34574,294.7416,473.3544,178.6128,0.15,29.0571108,-97.5827419
42-123-34580,435.5592,651.0528,215.4936,0.15,28.9308865,-97.6518128
42-123-34581,425.8056,650.748,224.9424,0.15,28.9311154,-97.6509245
42-123-34586,245.9736,666.5976,420.624,0.15,28.9673254,-97.6592507
42-123-34587,245.9736,665.988,420.0144,0.15,28.9657571,-97.6599844
42-123-34588,245.9736,666.5976,420.624,0.15,28.9651293,-97.6603844
42-123-34589,245.9736,666.5976,420.624,0.15,28.958846,-97.6506933
42-123-34590,433.7304,656.2344,222.504,0.15,28.9318679,-97.6508284
42-123-34646,249.936,322.7832,72.8472,0.15,29.1439784,-97.5805277
42-123-34647,249.936,322.7832,72.8472,0.15,29.1456393,-97.5828991
42-123-34648,249.936,322.7832,72.8472,0.15,29.1448033,-97.5807135
42-123-34655,249.936,322.7832,72.8472,0.15,29.3214853,-97.2914938
42-123-34656,249.936,322.7832,72.8472,0.15,29.3218865,-97.292917
42-123-34657,249.936,322.7832,72.8472,0.15,29.3220662,-97.2947418
42-123-34658,249.936,322.7832,72.8472,0.15,29.3251105,-97.2998415
42-123-34659,249.936,322.7832,72.8472,0.15,29.324311,-97.3005191
42-123-34660,249.936,322.7832,72.8472,0.15,29.3205123,-97.2978058
42-123-34661,365.76,417.576,51.816,0.15,29.159025,-97.558896
42-123-34662,365.76,417.576,51.816,0.15,29.1617207,-97.5599156
42-123-34663,365.76,417.576,51.816,0.15,29.162183,-97.5595693
42-123-34664,365.76,417.576,51.816,0.15,29.1622684,-97.5587141
42-123-34665,365.76,417.576,51.816,0.15,29.1626162,-97.5581129
42-123-34666,365.76,417.576,51.816,0.15,29.163123,-97.5578926
42-123-34674,365.76,640.08,274.32,0.15,29.0063447,-97.67602
42-123-34675,365.76,640.08,274.32,0.15,29.0012389,-97.6795271
42-123-34685,129.54,373.38,243.84,0.15,29.0748439,-97.6163767
42-123-34688,115.2144,419.1,303.8856,0.15,29.0185532,-97.6683649
42-123-34689,114.3,434.34,320.04,0.15,29.001186,-97.6363962
42-123-34690,114.3,434.34,320.04,0.15,29.0003473,-97.6371237
42-123-34691,114.3,434.34,320.04,0.15,28.9997019,-97.6381704
42-123-34692,114.3,434.34,320.04,0.15,28.9974694,-97.6389458
42-123-34693,114.3,449.58,335.28,0.15,28.9959478,-97.6395371
42-123-34694,114.3,434.34,320.04,0.15,28.9970298,-97.6399027
42-123-34695,114.3,441.96,327.66,0.15,28.9916271,-97.633038
42-123-34696,114.3,434.34,320.04,0.15,28.9945504,-97.6414414
42-123-34697,121.3104,419.1,297.7896,0.15,28.9987889,-97.6383372
42-123-34702,121.3104,419.1,297.7896,0.15,29.0156604,-97.6607565
42-123-34704,121.3104,419.1,297.7896,0.15,29.0197567,-97.6686357
42-123-34705,144.4752,579.12,434.6448,0.15,29.0014762,-97.6265253
42-123-34706,144.4752,579.12,434.6448,0.15,29.000756,-97.6261899
42-123-34711,144.4752,594.36,449.8848,0.15,28.999981,-97.6286311
42-123-34712,144.4752,579.12,434.6448,0.15,29.0032798,-97.6328193
42-123-34713,144.4752,579.12,434.6448,0.15,29.0013262,-97.6334866
42-123-34714,144.4752,594.36,449.8848,0.15,28.9976464,-97.6282143
42-123-34715,114.3,434.34,320.04,0.15,28.9892667,-97.6137167
42-123-34716,114.3,434.34,320.04,0.15,28.9885581,-97.6142419
42-123-34717,114.3,434.34,320.04,0.15,28.9877087,-97.6148943
42-123-34718,144.4752,579.12,434.6448,0.15,28.9982213,-97.637696
42-123-34719,144.4752,579.12,434.6448,0.15,28.9973534,-97.6381391
