api_number,depth_top,depth_bot,thickness,porosity,coord_latitude,coord_longitude
42-025-32952,957.072,1588.008,630.936,0.15,28.3067813,-97.5092573
42-025-32959,478.536,911.352,432.816,0.15,28.5727449,-97.7789387
42-025-32962,822.96,1219.2,396.24,0.15,28.3800175,-97.5598037
42-025-32969,853.44,1371.6,518.16,0.15,28.3417284,-97.5912385
42-025-32975,402.336,1158.24,755.904,0.15,28.425684,-97.6817938
42-025-32986,568.1472,896.7216,328.5744,0.15,28.5747454,-97.7747093
42-025-32992,697.992,1141.476,443.484,0.15,28.4826127,-97.5599455
42-025-32993,1016.508,1732.788,716.28,0.15,28.2412367,-97.5000998
42-025-32995,365.76,1027.176,661.416,0.15,28.364228,-97.7777258
42-025-33040,566.928,902.208,335.28,0.15,28.5751821,-97.7727122
42-025-33045,999.744,1783.08,783.336,0.15,28.2210002,-97.5264228
42-025-33054,957.072,1598.676,641.604,0.15,28.2327644,-97.5824602
42-025-33055,926.592,1598.676,672.084,0.15,28.2240432,-97.5951028
42-025-33056,899.16,1510.284,611.124,0.15,28.2632152,-97.5841187
42-025-33076,920.496,1540.764,620.268,0.15,28.2430314,-97.5911837
42-025-33077,915.924,1542.288,626.364,0.15,28.2551618,-97.5779356
42-025-33090,996.0864,1623.9744,627.888,0.15,28.4000688,-97.4029257
42-025-33091,1133.2464,1500.2256,366.9792,0.15,28.4051672,-97.4588702
42-025-33096,925.068,1586.484,661.416,0.15,28.2303411,-97.5912052
42-025-33104,961.644,1522.476,560.832,0.15,28.1546247,-97.691611
42-025-33105,972.312,1578.864,606.552,0.15,28.1783829,-97.667944
42-025-33108,1002.792,1002.792,0,0.15,28.1593318,-97.6485092
42-025-33110,917.448,1499.616,582.168,0.15,28.262978,-97.5923223
42-025-33126,981.456,1647.444,665.988,0.15,28.1944254,-97.6050632
42-025-33127,986.028,1623.06,637.032,0.15,28.204349,-97.6022161
42-025-33147,1011.936,1723.644,711.708,0.15,28.1876169,-97.5945638
42-025-33153,609.6,1219.2,609.6,0.15,28.4515309,-97.6963473
